seed,reg_lambda,reg_alpha,mcs,train_ic,oos_ic,ic_gap,ic_gap_ratio,oos_ic_ir
0,4.0,1.0,30,0.28178671481223955,0.1132491650440735,0.16853754976816604,0.5981032494043098,4.423154180863769
0,4.0,1.0,50,0.27532875347036934,0.11805018235652605,0.1572785711138433,0.5712391790956534,5.975609991875918
0,4.0,1.0,65,0.26652680451659816,0.12288940573701419,0.14363739877958398,0.5389229013573337,8.067874392127152
0,4.0,1.0,80,0.2509788311782237,0.12318273797037779,0.12779609320784593,0.5091907257990856,7.829632743899838
0,4.0,1.5,30,0.29508902947731125,0.11672490014173527,0.178364129335576,0.6044417498390601,4.964728544609407
0,4.0,1.5,50,0.27619598885975494,0.11851417399804495,0.15768181486170998,0.5709055207958746,6.5895219542709045
0,4.0,1.5,65,0.2671383885636979,0.12376714868372266,0.14337123987997527,0.5366927630687158,7.320730619103543
0,4.0,1.5,80,0.25028713108094747,0.1220690252183245,0.12821810586262297,0.5122840527552128,7.744090079000769
1,0.3,0.2,30,0.2921089362801283,0.11581431451178163,0.17629462176834665,0.6035235484863175,7.798619521797722
1,0.3,0.2,50,0.27004851295475324,0.1157299356187009,0.15431857733605234,0.5714476100888898,10.472443699290798
1,0.3,0.2,65,0.2571520253248966,0.11668722823339066,0.14046479709150594,0.5462325132926208,13.802684030478016
1,0.3,0.2,80,0.2469244470076457,0.1206284158490711,0.12629603115857463,0.5114764159203079,13.175846783138775
1,0.3,0.3,30,0.29607649991936846,0.11813260525162639,0.17794389466774208,0.6010064787857266,7.731835201894467
1,0.3,0.3,50,0.27110325042647404,0.11855327468230695,0.1525499757441671,0.5627006518888648,8.906697827561118
1,0.3,0.3,65,0.2614960178891928,0.11229177200256177,0.14920424588663103,0.5705794187269626,13.872067878948341
1,0.3,0.3,80,0.2489769454463227,0.12213570634037821,0.1268412391059445,0.5094497359125582,12.604809993455588
1,0.3,0.5,30,0.2901083097290404,0.11580899526529405,0.17429931446374636,0.6008077280741837,4.573639253393443
1,0.3,0.5,50,0.2729542005593547,0.11784002426939025,0.15511417628996446,0.5682791324408815,11.203731825536309
1,0.3,0.5,65,0.2579280162618333,0.11937041337969241,0.13855760288214092,0.5371948533946208,18.47929844415444
1,0.3,0.5,80,0.24555790804560013,0.12127414298715747,0.12428376505844266,0.5061281310287232,31.533972163378678
1,0.3,0.8,30,0.29871240490251527,0.11537759516496604,0.18333480973754923,0.6137502384522012,4.972477064804548
1,0.3,0.8,50,0.28095499963829623,0.11428725519937977,0.16666774443891647,0.5932186458809627,10.82405157381797
1,0.3,0.8,65,0.2623319873818043,0.11932719857080258,0.1430047888110017,0.5451290566516735,11.094221970308112
1,0.3,0.8,80,0.23817392246355965,0.11959551016280716,0.11857841230075249,0.4978648001184716,19.649742284108758
1,0.3,1.0,30,0.28663943598124464,0.11782880357835464,0.16881063240289002,0.5889302420129504,5.104433243646725
1,0.3,1.0,50,0.2680920140580547,0.11312771766609364,0.15496429639196108,0.578026529199053,8.139850920660724
1,0.3,1.0,65,0.2584649670651921,0.11377220480668755,0.14469276225850458,0.559815761112449,11.769326948732223
1,0.3,1.0,80,0.25469633342499565,0.11863417264974552,0.13606216077525013,0.5342132685836973,12.418751027807852
1,0.3,1.5,30,0.2948562696273293,0.11510432467050931,0.17975194495682,0.6096256497581334,7.505538302421503
1,0.3,1.5,50,0.26914791973396607,0.11298681887277758,0.1561611008611885,0.5802054907782414,10.610561411433535
1,0.3,1.5,65,0.2638225630092167,0.11796541611892002,0.14585714689029666,0.5528607759193103,12.54589693984457
1,0.3,1.5,80,0.24566746351842111,0.12531364816125662,0.1203538153571645,0.4899053933861286,15.803604661094472
1,0.5,0.2,30,0.3030010895023431,0.11721980651902789,0.18578128298331523,0.6131373431311657,8.008659789675988
1,0.5,0.2,50,0.2712147011647767,0.11433849057875753,0.15687621058601917,0.5784207489943877,11.121690362045596
1,0.5,0.2,65,0.26102133373717773,0.11635689486634981,0.14466443887082792,0.5542245792694113,10.880936428677021
1,0.5,0.2,80,0.24830219680816557,0.12027515209108726,0.12802704471707832,0.5156097946889694,13.174095339075562
1,0.5,0.3,30,0.3003656291151234,0.11495870832911988,0.18540692078600352,0.6172707620782444,8.893274862394298
1,0.5,0.3,50,0.27634449862760935,0.1170404826912057,0.15930401593640364,0.5764689245761874,12.025188694338002
1,0.5,0.3,65,0.2624507696468238,0.11606566218357098,0.1463851074632528,0.557762157299981,10.619016405491418
1,0.5,0.3,80,0.24553363579599569,0.12208312266154313,0.12345051313445256,0.5027845278071098,12.594289570834167
1,0.5,0.5,30,0.29177588621903683,0.11456990806402664,0.17720597815501019,0.6073359263896855,4.550336226989755
1,0.5,0.5,50,0.2750499157391687,0.11283783328277211,0.1622120824563966,0.5897550705313547,9.891340850236286
1,0.5,0.5,65,0.2664865737117994,0.1184197930360333,0.14806678067576612,0.5556256685408015,18.52833366886718
1,0.5,0.5,80,0.25058515997202957,0.12079819327872718,0.1297869666933024,0.517935566127656,17.907910019417518
1,0.5,0.8,30,0.29503761747637663,0.11225763022075193,0.18277998725562472,0.6195141786293056,5.466067642063368
1,0.5,0.8,50,0.2792669065123176,0.11584858597094416,0.16341832054137345,0.5851689431528313,9.015262949233772
1,0.5,0.8,65,0.2650771235364043,0.11740856844305118,0.14766855509335308,0.5570777029843281,11.209216287679212
1,0.5,0.8,80,0.24498617045582877,0.1182445141065831,0.12674165634924567,0.5173420855284454,10.258739996826339
